#,Development Name,Address,Total Affordable Units,,Latitude,Longitude
1,101 San Fernando,"101 E.San Fernando St, Ste 100",65,,37.33624,-121.88706
2,127 and 110 #22 Roundtable - NSP,127 Roundtable Dr.,7,,,
3,1713 Ross,1713 Ross Circle,4,,,
4,1726 Ross,1726 Ross Circle,4,,,
5,1731 Ross,1731 Ross Circle,4,,,
6,Almaden 1930,1930 Almaden,60,,37.29968,-121.87902
7,Almaden Family Apartments,1501 Almaden Expy,223,,37.30956,-121.87995
8,Almaden Garden Apartments,"947 Branham Lane, #C",0,,,
9,Almaden Lake Apartments,978 Almaden Lake Dr,144,,37.23918,-121.867
10,Anton La Moraga Apartments,5822 Charlotte Drive,60,,37.24523472,-121.8010028
11,Arbor Apartments,1582 Kooser Road,0,,,
12,Arbor Park Community,899 North King Road,74,,37.3687694,-121.8712523
13,Archer Studios,98 Archer Street,41,,,
14,Art Ark,1058 S.5th Street,146,,37.32241254,-121.8744449
15,Ascent Apartments,5805 Charlotte Drive,95,,37.2484726,-121.8011592
16,Baker Park,4748 Campbell Ave,98,,37.28687481,-121.985952
17,Barker,3825 Barker Drive,4,,,
18,Bella Castello,570 Keyes St,87,,,
19,Bendorf Drive Apts.,282 Danze Drive,100,,37.25997742,-121.8038474
20,Betty Anne Gardens,945 Lundy Ave,76,,,
21,Blossom River,1000 Blossom River Way,143,,37.25224725,-121.8691582
22,Branham,1579 Branham Lane,2,,,
23,Bridgeport Apartments,3678 Bridgeport Court,28,,,
24,Brookwood Terrace Family Apartments,1346 E San Antonio St,83,,,
25,Burning Tree,239 Burning Tree,1,,,
26,Calvin,3456 Calvin Avenue,1,,,
27,Canoas Terrace,420 Sands Drive,112,,37.287098,-121.872774
28,Cape Cod Court,3680 Cape Cod Court,28,,,
29,Capitol Manor,175 N. Capitol Avenue,0,,,
30,Casa Camino,96 South 10th Street,4,,,
31,Casa Real,2570 Fontaine Rd.,72,,,
32,Catalonia,2036 Evans Lane,50,,,
33,Chai House II,814 St Elizabeth Dr,73,,,
34,Charlotte Park Family Apartments,5875 Charlotte Drive,197,,37.243811,-121.801185
35,Charter Court Apartments,1200 Ranchero Way,37,,,
36,Cherry Creek,2020 Southwest Expressway,52,,,
37,Cinnabar Commons,875 Cinnabar St,243,,37.44891463,-121.9600525
38,Clarendon Street Apartments,7213 Clarendon St.,80,,,
39,Colonnade,201 S 4th Street,16,,,
40,Corde Terra Village Family,2600 Corde Terra Circle,298,,37.3048403,-121.8489098
41,Cornerstone,875 N.10th Street,52,,,
42,Country Hills Apartments,124 Rancho Drive,31,,,
43,Courtyard Plaza Apartments,2950 Story Road,80,,,
44,Curtner,1824 Curtner Avenue,1,,,
45,David Avenue Apartments,3068 David Avenue,17,,,
46,Delmas Park,350 Bird Avenue,122,,37.3241804,-121.9001817
47,Dent Commons,5363 Dent Ave,23,,,
48,Don de Dios,987 Fair Avenue,70,,,
49,Donna,1794 Donna Lane,4,,,
50,Eden Palms Apartments,5398 Monterey Road,145,,37.2675915,-121.8219383
51,Emmanuel Terrace,460 Francis Drive,0,,,
52,Enclave,4349 RENAISSANCE DR,271,,37.4118998,-121.9587049
53,Fairways at San Antonio,305 San Antonio Court,86,,,
54,Ford Road Plaza,215 Ford Road,74,,,
55,Fountain Plaza,190 Ryland Street,46,,,
56,Foxdale Village Apartments,1250 Foxdale Loop,114,,37.34606883,-121.8262288
57,Gish Apartments,35 E. Gish Rd,34,,,
58,Guadalupe Apartments,76 Duane Street,23,,,
59,Helzer Court,2960 MacIntyre Drive,153,,37.28416478,-121.8651539
60,Hillsdale Townhomes,1626-1656 Hillsdale Ave,47,,,
61,Hillview Glen,3220 Pearl Avenue,138,,37.2751513,-121.8702338
62,Hoffman - 5629,5629 Hoffman Court,4,,,
63,Hoffman - 5668,5668 Hoffman Court,4,,,
64,Hoffman - 5684,5684 Hoffman Court,4,,,
65,Huff Gardens,3021 Huff Avenue,72,,,
66,Italian Gardens,1524 Almaden Road,146,,37.31111989,-121.8783127
67,Julian Gardens,319 North 8th Street,9,,,
68,Kings Crossing,678 North King Road,92,,37.3661213,-121.8676556
69,La Fenetre,705 Northrup Street,50,,,
70,Las Casitas,632 N. Jackson Ave.,0,,,
71,Las Ventanas,1800 Evans Lane,236,,37.29532,-121.876211
72,Lenzen Square,790 Lenzen Avenue,87,,,
73,Lexington Apartments,1350 Lexington Dr.,32,,,
74,Lion Villas,2550 S. King Rd.,109,,37.31188845,-121.822707
75,Lucretia Gardens,2034 Lucretia Av,16,,,
76,Market Gateway Apartments,535 S.Market St,22,,,
77,Masson Apartments,161 West Santa Clara Street,4,,,
78,Mayfair Court Apartments,65 McCreery Ave,92,,37.35392316,-121.8513937
79,Mayfair Golden Manor,2627 Madden Avenue,0,,,
80,Monte Alban,1324 Santee Dr,77,,,
81,Monte Vista Gardens,2601 Nuestra Castillo Court,114,,37.3578144,-121.832186
82,Monterey Family Apartments,2774 Monterey Road,71,,,
83,Monterey Grove,6100 Monterey Rd,34,,,
84,Moreland Apartments,4375 Payne Avenue,0,,,
85,Museum Park,465 W San Carlos St,19,,,
86,Oak Grove Apartments,5568 Lexington Ave.,133,,37.2514534,-121.7987596
87,Oak Tree Village,100 Branham Lane East,174,,37.2636076,-121.874204
88,Ohlone Chynoweth Commons,5300 Terner Way,192,,37.2566664,-121.8625812
89,Ohlone Court,5225 Terner Way,133,,37.25761298,-121.8636515
90,Orvieto B,80 Montecito Vista Drive,105,,37.2918832,-121.851848
91,Orvieto Family Apartments,80 Montecito Vista Drive,91,,37.2918832,-121.851848
92,Parkside Glen,810 Hillsdale Ave,180,,37.2918832,-121.8518488
93,Parkside Terrace,463 Wooster Ave,40,,,
94,Parkview Family,360 Meridian Ave,89,,,
95,Paseo Senter I,1908 Senter Rd,115,,37.3052354,-121.8450348
96,Paseo Senter II,1896 Senter Rd,99,,37.3052354,-121.8450348
97,Paula Apartments,801 Paula Street,21,,,
98,Pinmore Gardens,1706 Branham Lane,51,,,
99,Plaza Maria,115 East Reed Street,52,,,
100,Poco Way,1900 Poco Way,129,,37.3433904,-121.8390817
101,Raintree,1058 S. Winchester,174,,37.3148714,-121.950007
102,Regency Apartments,1315 Eden Ave,52,,,
